model,mae,mse,rmse,r2_score
GradientBoostingRegressor,162.50379200688633,43271.90790957566,208.01900852945064,0.6716083373262967
RandomForestRegressor,166.4637536788781,48853.98664652486,221.02937960037093,0.629245792983836
Lasso,180.6184310540833,48909.22397040063,221.1542990095391,0.6288265954604194
ElasticNet,180.66657340523065,48920.876385776035,221.18064197794533,0.6287381649695039
LinearRegression,181.38890629436415,49186.43337634386,221.780146488237,0.6267228458888332
Ridge,181.33399234510742,49189.52202791644,221.78710969737725,0.6266994060297112
